MA0004.1	Arnt
MA1202.1	AGL55
MA1242.1	DREB2F
MA1290.1	TCP17
MA1291.1	TCP7
MA1363.1	LRL2
MA1373.1	GAF1
MA1378.1	AIL6
MA1760.1	HSFA6A
MA1797.1	RAV2
MA2103.1	AT4G09450
MA2104.1	IDD11
MA2342.1	URI
MA2343.1	MYB3R3
MA2344.1	REV
MA2348.1	IDD6
MA2352.1	PC-MYB1
MA2363.1	TOE2
MA2366.1	VOZ2
MA2367.1	WIP5
MA2368.1	WRKY51
MA2369.1	ZHD14
MA2370.1	MBD2
MA2371.1	MYB31
MA2372.1	AZF1
MA2373.1	AZF2
MA2374.1	AHL13
MA2375.1	BMY2
MA2376.1	CAMTA5
MA2378.1	CRF3
MA2379.1	DOF3.1
MA2380.1	DOF4.7
MA2387.1	NAC094
MA2388.1	GATA1
MA2389.1	GBF1
MA2396.1	IDD1
MA2397.1	ILR3
MA2398.1	AS2
MA2005.2	NAC016
MA1376.2	DEAR3
MA1751.2	EIL3
MA0571.2	ANT
MA1377.2	PLT1
MA0971.2	DREB1A
MA0976.3	CRF4
MA0980.3	RAP2-10
MA0992.3	ERF4
MA0993.2	ERF7
MA0994.3	ERF8
MA0995.3	ERF039
MA0997.2	ERF069
MA0998.2	ERF096
MA1000.3	ERF105
MA1001.4	ERF076
MA1004.2	ERF13
MA1005.3	ERF082
MA1006.2	ERF6
MA1049.2	ERF094
MA1218.2	DREB1D
MA1219.3	ERF011
MA1220.2	TINY
MA1223.2	ERF035
MA1226.2	DREB2G
MA1227.3	ERF027
MA1228.2	ERF091
MA1229.2	ERF034
MA1230.2	ERF037
MA1231.3	ERF15
MA1232.2	ERF054
MA1233.3	ERF021
MA1234.2	ERF017
MA1238.3	ERF038
MA1239.2	ERF104
MA1240.2	ERF077
MA1241.2	ERF043
MA1243.2	DREB2E
MA1244.2	ABR1
MA1245.3	ERF112
MA1246.2	LEP
MA1247.2	ERF087
MA1248.2	ERF012
MA1250.2	DREB2D
MA1251.2	RAP2-9
MA1252.2	ERF086
MA1253.2	ERF036
MA1256.2	RAP2-12
MA1257.2	ERF9
MA1258.2	DREB2A
MA1259.2	ERF023
MA1260.2	ERF013
MA1261.2	ERF122
MA1262.2	ERF2
MA1263.2	ERF055
MA1264.2	ERF095
MA1265.3	ERF015
MA1266.2	RAP2-11
MA1424.2	ERF019
MA1669.2	DREB1B
MA1670.2	DREB1C
MA1671.2	ERF118
MA1679.2	RAP2-1
MA1748.2	DREB1F
MA1752.2	ERF025
MA1753.2	ERF057
MA1754.2	ERF073
MA1795.2	RAP2-4
MA1804.2	WIN1
MA2011.2	ERF010
MA2013.2	ERF115
MA0564.2	ABI3
MA0565.3	FUS3
MA0581.2	LEC2
MA0942.2	ARF1
MA0943.2	ARF5
MA0944.2	ARF8
MA1206.2	ARF2
MA0582.2	RAV1
MA0552.2	PIF1
MA0560.2	PIF3
MA0568.2	MYC3
MA0569.2	MYC4
MA0956.2	BEE2
MA0962.2	bHLH34
MA0964.3	BIM1
MA0965.3	BIM2
MA0966.2	BIM3
MA1025.2	HBI1
MA1061.2	SPT
MA1074.2	UNE10
MA1357.2	bHLH80
MA1358.2	bHLH130
MA1359.3	BPE
MA1360.3	bHLH74
MA1361.2	bHLH18
MA1362.2	bHLH77
MA1364.2	BHLH72
MA1739.2	BHLH122
MA1740.2	BHLH49
MA0549.2	BZR2
MA0550.3	BZR1
MA1331.2	BEH4
MA1332.2	BEH2
MA1333.2	BEH3
MA2014.2	BAM8
MA0587.2	TCP16
MA1062.3	TCP15
MA1063.2	TCP19
MA1064.2	TCP2
MA1065.3	TCP20
MA1282.2	TCP13
MA1283.2	TCP14
MA1284.2	TCP1
MA1285.2	TCP9
MA1286.2	TCP24
MA1287.2	TCP21
MA1288.2	TCP22
MA1289.2	TCP3
MA1428.2	TCP8
MA0570.3	ABF1
MA0930.3	ABF3
MA0931.2	ABI5
MA0941.2	ABF2
MA1338.3	DPBF3
MA1659.2	ABF4
MA1344.2	BZIP28
MA1745.2	BZIP63
MA0588.2	TGA1
MA1047.3	TGA5
MA1068.3	TGA2
MA1069.3	TGA6
MA1070.3	TGA7
MA1336.2	TGA3
MA1346.2	TGA10
MA0968.3	BZIP68
MA1349.2	BZIP16
MA1351.3	GBF3
MA1672.2	GBF2
MA0551.2	HY5
MA1425.2	HYH
MA1343.2	BZIP52
MA1742.2	BZIP18
MA1744.2	BZIP30
MA1803.2	VIP1
MA1334.2	BZIP11
MA1337.2	BZIP44
MA1340.2	BZIP3
MA1341.2	BZIP53
MA1345.2	BZIP48
MA1743.2	BZIP2
MA2015.2	NAC002
MA1156.2	JKD
MA1157.2	NUC
MA1158.2	MGP
MA1159.2	SGR5
MA1160.2	IDD6
MA1370.2	IDD5
MA1371.2	IDD4
MA1372.2	ZAT10
MA1374.2	IDD7
MA1381.2	AT3G46070
MA1415.2	REF6
MA1736.2	AT5G04390
MA1801.2	TREE1
MA2052.2	ZAT6
MA0586.3	SPL14
MA1056.2	SPL11
MA1057.2	SPL12
MA1058.2	SPL4
MA1059.3	SPL5
MA1060.2	SPL7
MA1320.2	SPL15
MA1321.2	SPL13A
MA1799.2	SPL10
MA2016.2	GRF6
MA0969.2	CAMTA2
MA0970.2	CAMTA3
MA1197.2	CAMTA1
MA1756.2	GRF9
MA1682.2	TCX3
MA1414.2	E2FA
MA0938.3	NAC058
MA1043.2	NAC083
MA1044.2	NAC92
MA1045.2	NAC043
MA1427.3	NAC028
MA1660.2	NAC013
MA1663.3	NAC050
MA1674.3	NAC017
MA1675.2	NAC029
MA1676.3	NAC062
MA1677.2	NAC078
MA1678.3	NTL8
MA1785.2	NAC018
MA1786.2	NAC019
MA1787.2	NAC047
MA2006.2	NAC020
MA2009.2	NAC010
MA2010.2	SMB
MA2017.2	JUB1
MA2018.2	NAC69
MA2033.2	NAC038
MA2034.2	NAC057
MA2035.2	NAC075
MA2036.2	NAC076
MA2037.2	NAC096
MA2038.2	NAC103
MA2043.2	NAC004
MA2044.2	NAC007
MA2045.2	NAC031
MA2046.2	NAC035
MA2047.2	NAC037
MA2048.2	NAC045
MA2049.2	NAC053
MA2050.2	NAC101
MA2051.2	NAC68
MA2053.2	NAC105
MA0589.2	WRKY1
MA1076.3	WRKY15
MA1077.2	WRKY18
MA1078.2	WRKY2
MA1079.3	WRKY21
MA1081.3	WRKY25
MA1083.3	WRKY30
MA1085.3	WRKY40
MA1086.2	WRKY43
MA1087.3	WRKY45
MA1088.2	WRKY48
MA1089.2	WRKY57
MA1090.2	WRKY60
MA1092.2	WRKY63
MA1093.2	WRKY75
MA1094.3	WRKY8
MA1295.2	WRKY20
MA1296.2	WRKY46
MA1297.2	WRKY26
MA1298.2	WRKY29
MA1299.2	WRKY17
MA1300.2	WRKY6
MA1301.2	WRKY33
MA1302.2	WRKY65
MA1303.2	WRKY22
MA1304.2	WRKY59
MA1305.2	WRKY55
MA1306.2	WRKY11
MA1307.3	WRKY31
MA1308.2	WRKY70
MA1310.2	WRKY42
MA1311.3	WRKY28
MA1312.2	WRKY47
MA1313.2	WRKY7
MA1314.2	WRKY14
MA1315.2	WRKY24
MA1316.2	WRKY71
MA1317.2	WRKY50
MA1318.2	WRKY27
MA1805.2	WRKY53
MA0557.2	FHY3
MA1382.2	FAR1
MA1664.3	HSFA6B
MA1665.3	HSFB2A
MA1666.3	HSFB2B
MA1667.3	HSFC1
MA1758.2	HSFA1E
MA1759.2	HSFA4A
MA1761.2	HSFB3
MA2019.2	HSFA1B
MA2020.2	HSFB4
MA0008.4	HAT5
MA0110.4	ATHB-5
MA0573.2	ATHB-9
MA0953.2	ATHB-6
MA0954.3	ATHB-7
MA0990.2	HDG11
MA1024.2	HAT1
MA1026.3	ATHB-15
MA1198.2	HAT2
MA1209.2	ATHB-20
MA1210.3	HAT22
MA1211.2	ATHB-X
MA1212.2	ATHB-13
MA1214.2	ATHB-40
MA1215.2	ATHB-53
MA1327.3	ATHB-23
MA1369.2	HDG1
MA1375.2	ANL2
MA1406.2	ATHB-4
MA1757.2	HDG7
MA1213.3	ZHD3
MA1326.2	ZHD5
MA1329.3	ZHD1
MA1330.2	ZHD6
MA1807.2	ZHD10
MA0001.3	AGL3
MA0005.3	AG
MA0548.3	AGL15
MA0554.2	SOC1
MA0555.2	SVP
MA0556.2	AP3
MA0558.2	FLC
MA0563.2	SEP3
MA0584.2	SEP1
MA0585.2	AGL1
MA1015.2	GATA12
MA1016.2	GATA15
MA1017.2	GATA8
MA1018.2	GATA9
MA1323.2	GATA19
MA1325.2	GATA14
MA1396.2	GATA6
MA1755.2	GATA4
MA0973.2	CDF2
MA0974.3	CDF3
MA0981.2	DOF1.8
MA0982.2	DOF2.4
MA0983.2	DOF5.6
MA0984.2	DOF5.7
MA1071.2	DOF5.3
MA1267.2	DOF5.8
MA1268.2	CDF5
MA1269.2	DOF4.5
MA1270.2	DOF3.2
MA1272.3	DOF2.2
MA1273.2	DOF4.2
MA1275.2	DOF1.6
MA1276.2	DOF3.5
MA1277.2	DOF1.7
MA1278.2	DOF3.4
MA1279.2	DOF1.5
MA1280.2	DOF5.4
MA1281.2	DOF5.1
MA1747.2	DOF4.3
MA1673.2	LBD18
MA2021.2	LBD13
MA2022.2	LOB
MA1794.2	NLP7
MA0577.4	SPL3
MA1055.3	SPL1
MA1322.3	SPL9
MA0121.2	ARR10
MA0945.2	ARR1
MA0948.2	ARR18
MA0949.2	ARR2
MA1027.2	KAN1
MA1163.3	PHL11
MA1164.2	HHO5
MA1165.3	HHO6
MA1166.2	PHL12
MA1167.2	EFM
MA1168.2	MYR2
MA1383.2	KAN2
MA1385.2	AT2G40260
MA1386.3	HHO3
MA1387.2	HRS1
MA1388.2	PHL2
MA1389.2	PHL1
MA1390.3	HHO2
MA1706.2	AT1G14600
MA1735.2	AT2G38300
MA1737.2	AT5G05090
MA2023.2	PHL4
MA0575.2	MYB77
MA0576.2	RAX3
MA1037.2	MYB24
MA1038.2	MYB3
MA1170.2	MYB118
MA1171.2	MYB52
MA1172.2	MYB3R5
MA1173.2	MYB101
MA1174.2	MYB56
MA1175.2	MYB81
MA1176.2	MYB119
MA1177.2	MYB65
MA1178.3	MYB3R1
MA1179.2	MYB1
MA1180.2	MYB3R4
MA1181.2	MYB113
MA1292.2	MYB27
MA1293.2	MYB57
MA1294.2	MYB62
MA1391.3	MYB33
MA1392.3	MYB98
MA1393.3	MYB70
MA1394.3	MYB73
MA1426.2	MYB124
MA1762.2	MYB10
MA1764.2	MYB116
MA1765.2	MYB121
MA1766.2	MYB17
MA1767.2	MYB23
MA1768.2	MYB30
MA1769.2	MYB39
MA1770.2	MYB40
MA1771.2	MYB41
MA1772.2	MYB43
MA1773.2	MYB51
MA1774.2	MYB60
MA1775.2	MYB61
MA1776.2	MYB67
MA1777.2	MYB74
MA1778.2	MYB80
MA1779.2	MYB83
MA1780.2	MYB92
MA1781.2	MYB94
MA2007.2	MYB107
MA2008.2	MYB99
MA2024.2	MYB63
MA2025.2	MYB93
MA2026.2	MYB108
MA2027.2	MYB44
MA2028.2	MYB49
MA2029.2	MYB88
MA2030.2	MYB96
MA2041.2	MYB13
MA2042.2	MYB58
MA0579.2	CDC5
MA1182.2	RVE8
MA1183.2	RVE6
MA1184.2	RVE1
MA1185.2	LHY
MA1186.2	YAB4
MA1187.2	RVE4
MA1189.2	AT5G61620
MA1190.2	RVE5
MA1191.2	RVE7L
MA1192.2	DIV1
MA1193.2	AT2G38090
MA1194.2	AT3G10580
MA1195.2	AT5G56840
MA1196.2	AT5G05790
MA1353.2	AT1G72740
MA1355.2	TRB2
MA1397.2	AT1G74840
MA1398.3	KUA1
MA1400.2	AT1G19000
MA1401.2	RVE7
MA1681.2	SRM1
MA1793.2	NID1
MA1802.2	TRP5
MA2031.2	AT5G04760
MA2032.2	TRB1
MA1207.2	GT-3a
MA1208.2	GT-2
MA1365.3	AT5G47660
MA1366.2	DF1
MA1367.2	AT1G76870
MA1368.3	GT-4
MA1661.2	GTL1
MA1662.2	AT3G10030
MA1733.2	ASR3
MA2039.2	ASIL2
MA2040.2	ENAP2
MA2345.1	OS02G0104500
MA2346.1	OsTCP7
MA2347.1	OS04G0486400
MA2349.1	OsCCA1
MA2350.1	OsFBH1
MA2351.1	OsEIL3
MA2401.1	Os05g0437700
MA2402.1	OsERF104
MA2404.1	OsTRBF3
MA2405.1	OsMSL08
MA2422.1	OsbZIP42
MA2423.1	OsbZIP69
MA2424.1	OsbZIP77
MA1430.2	TB1
MA1815.2	GRF4
MA1409.2	OsRR22
MA2362.1	TEIL
MA2377.1	cassava45561.m1
MA2361.1	PRUPE_ppa000682mg
MA2403.1	DVH24_040989
MA1095.1	ARALYDRAFT_495258
MA1096.1	ARALYDRAFT_496250
MA1097.1	ARALYDRAFT_493022
MA1098.1	ARALYDRAFT_484486
MA1054.2	ARALYDRAFT_897773
MA1416.1	RAMOSA1
MA2106.1	Zm00001d024644
MA2391.1	Lg3
MA2392.1	GRMZM2G135447
MA2408.1	BAD1
MA2409.1	ZmbZIP25
MA2410.1	ZmbZIP54
MA2411.1	ZmbZIP57
MA2412.1	ZmbZIP72
MA2413.1	ZmbZIP96
MA2414.1	EREB127
MA2415.1	EREB138
MA2416.1	EREB29
MA2417.1	EREB71
MA2418.1	IG1
MA2419.1	UB3
MA2420.1	SBP6
MA2421.1	SBP8
MA1817.2	Zm00001d020267
MA1819.2	Zm00001d005892
MA1820.2	Zm00001d024324
MA1821.2	Zm00001d020595
MA1831.2	Zm00001d031796
MA1832.2	Zm00001d002364
MA1833.2	Zm00001d049364
MA1685.2	ARF10
MA1688.2	ARF16
MA1689.2	ARF18
MA1690.2	ARF25
MA1691.2	ARF27
MA1692.2	ARF29
MA1693.2	ARF34
MA1694.2	ARF35
MA1695.2	ARF36
MA1696.2	ARF39
MA1697.2	ARF4
MA1698.2	ARF7
MA1816.2	O11
MA1834.2	Zm00001d034298
MA1828.2	Zm00001d038683
MA1822.2	Zm00001d018571
MA1417.2	O2
MA1835.2	TFLG2-Zm00001d042777
MA1824.2	Zm00001d005692
MA0020.2	Dof2
MA1823.2	Zm00001d027846
MA1827.2	Zm00001d044785
MA1830.2	Zm00001d015407
MA1829.2	Zm00001d035604
MA1825.2	Zm00001d044409
MA1050.1	OsI_08196
MA1032.2	DREB1G
MA0961.2	bHLH112
MA1031.2	OJ1581_H09.2
MA1030.2	P0510F09.23
MA0034.2	Gam1
MA2425.1	SPL11A
MA2426.1	SPL11B
MA2427.1	SPL12B
MA2428.1	SPL13B
MA2429.1	SPL13D
MA2430.1	SPL14B
MA2431.1	SPL15A
MA2432.1	SPL15B
MA2433.1	SPL15D
MA2434.1	SPL16A
MA2435.1	SPL16D
MA2436.1	SPL18A
MA2437.1	SPL19B
MA2438.1	SPL1D
MA2439.1	SPL2A
MA2440.1	SPL2B
MA2441.1	SPL3A
MA2442.1	SPL3B
MA2443.1	SPL3D
MA2444.1	SPL4A
MA2445.1	SPL4D
MA2446.1	SPL5A
MA2447.1	SPL5B
MA2448.1	SPL5D
MA2449.1	SPL6A
MA2450.1	SPL7A
MA2451.1	SPL7B
MA2452.1	SPL8A
MA2453.1	SPL8B
MA2454.1	SPL8D1
MA2455.1	SPL9D
MA1410.2	StBRC1
MA1405.2	SIZF2
MA1813.2	EIL4
MA1814.2	RIN
MA1812.2	ASR1
MA1408.2	FaEOBII
MA1411.2	TSAR1
MA1412.2	TSAR2
MA2399.1	LjSGA_053525.1
MA2400.1	LjTCP20
MA2105.1	GLYMA-13G317000
MA2390.1	GLYMA19G26560
MA1810.2	GLYMA-08G357600
MA1019.2	Glyma19g26560.1
MA1808.2	GLYMA-06G314400
MA1811.2	GLYMA-13G317000
MA1809.2	GLYMA-07G038400
MA0260.1	che-1
MA0261.1	lin-14
MA0263.1	ceh-10::ttx-3
MA0537.1	blmp-1
MA0544.1	snpc-4
MA0546.1	pha-4
MA0924.1	pal-1
MA0926.1	unc-86
MA0927.1	vab-7
MA1440.1	fkh-9
MA1445.1	ceh-28
MA1448.1	fos-1
MA1442.1	mab-5
MA1438.2	atf-7
MA0919.2	dsc-1
MA1439.2	elt-6
MA0920.2	fkh-2
MA1441.2	lim-7
MA1443.2	unc-30
MA0918.2	unc-62
MA0262.1	mab-3
MA0542.1	elt-3
MA0922.1	ces-2
MA1451.1	nhr-6
MA2127.1	atf-2
MA2128.1	ceh-18
MA2129.1	ceh-23
MA2130.1	dmd-10
MA2131.1	egl-38
MA2132.1	egrh-1
MA2133.1	elt-7
MA2134.1	end-3
MA2135.1	jun-1
MA2136.1	klf-3
MA2137.1	klu-1
MA2138.1	klu-2
MA2139.1	let-381
MA2140.1	lin-31
MA2141.1	lin-48
MA2142.1	nhr-142
MA2143.1	nhr-25
MA2144.1	nhr-5
MA2145.1	nhr-70
MA2146.1	nhr-86
MA2147.1	nsy-7
MA2148.1	odd-2
MA2149.1	odr-7
MA2150.1	pag-3
MA2151.1	pax-2
MA2152.1	ref-1
MA2153.1	sex-1
MA2154.1	snai-1
MA2155.1	sptf-3
MA2156.1	xbp-1
MA2157.1	atfs-1
MA2158.1	ceh-14
MA2159.1	ceh-36
MA2160.1	ceh-39
MA2161.1	ceh-43
MA2162.1	ceh-60
MA2163.1	cnd-1
MA2164.1	egl-27
MA2165.1	elt-1
MA2166.1	ets-7
MA2167.1	fkh-3
MA2168.1	hif-1
MA2169.1	hsf-1
MA2170.1	lin-32
MA2171.1	lsl-1
MA2172.1	mdl-1
MA2173.1	mef-2
MA2174.1	mls-2
MA2175.1	mxl-1
MA2176.1	mxl-3
MA2177.1	nfya-1
MA2178.1	sta-1
MA2179.1	ceh-10
MA2180.1	F10B5.3
MA2181.1	lsy-2
MA2182.1	nfi-1
MA2183.1	nhr-33
MA2184.1	sox-3
MA2185.1	tbx-37
MA2186.1	tbx-38
MA2187.1	ztf-6
MA1444.2	cebp-1
MA0264.2	ceh-22
MA1699.2	ceh-38
MA0921.2	ceh-48
MA0538.2	daf-12
MA1446.2	daf-16
MA0541.2	efl-1
MA1701.2	elt-2
MA0543.2	eor-1
MA0545.2	hlh-1
MA1449.2	hlh-30
MA0923.2	lim-4
MA1450.2	lin-54
MA1703.2	pqm-1
MA0547.2	skn-1
MA0925.2	sma-4
MA0928.2	zfh-2
MA1704.2	zip-8
MA0013.1	br
MA0022.1	dl
MA0023.1	dl
MA0026.1	Eip74EF
MA0049.1	hb
MA0165.1	Abd-B
MA0166.1	Antp
MA0168.1	B-H1
MA0169.1	B-H2
MA0180.1	Vsx2
MA0181.1	Vsx1
MA0186.1	Dfd
MA0188.1	Dr
MA0190.1	Gsc
MA0191.1	HGTX
MA0192.1	Hmx
MA0193.1	schlank
MA0194.1	Lim1
MA0196.1	NK7.1
MA0198.1	OdsH
MA0199.1	Optix
MA0201.1	Ptx1
MA0202.1	Rx
MA0203.1	Scr
MA0204.1	Six4
MA0206.1	abd-A
MA0208.1	al
MA0210.1	ara
MA0211.1	bap
MA0212.1	bcd
MA0213.1	brk
MA0214.1	bsh
MA0217.1	caup
MA0218.1	ct
MA0219.1	ems
MA0220.1	en
MA0221.1	eve
MA0225.1	ftz
MA0227.1	hth
MA0229.1	inv
MA0230.1	lab
MA0234.1	oc
MA0235.1	onecut
MA0236.1	otp
MA0238.1	pb
MA0242.1	Bgb::run
MA0244.1	slbo
MA0245.1	slou
MA0246.1	so
MA0248.1	tup
MA0250.1	unc-4
MA0253.1	vnd
MA0254.1	vvl
MA0446.1	fkh
MA0448.1	H2.0
MA0449.1	h
MA0454.1	odd
MA0456.1	opa
MA0460.1	ttk
MA0216.2	cad
MA0533.1	su(Hw)
MA0237.2	pan
MA0535.1	Mad
MA0916.1	Ets21C
MA0917.1	gcm2
MA0167.1	Awh
MA0170.1	C15
MA0171.1	CG11085
MA0172.1	CG11294
MA0173.1	CG11617
MA0174.1	Dbx
MA0175.1	lms
MA0176.1	CG15696
MA0177.1	CG18599
MA0178.1	CG32105
MA0179.1	CG32532
MA0182.1	CG4328
MA0183.1	HHEX
MA0187.1	Dll
MA0207.1	achi
MA0209.1	ap
MA0215.1	btn
MA0224.1	exex
MA0226.1	hbn
MA0228.1	ind
MA0231.1	lbe
MA0232.1	lbl
MA0233.1	mirr
MA0240.1	repo
MA0241.1	ro
MA0251.1	unpg
MA0256.1	zen
MA0444.1	CG34031
MA0445.1	D
MA0447.1	gt
MA0450.1	hkb
MA0459.1	tll
MA0534.1	EcR::usp
MA1700.1	Clamp
MA2107.1	cg
MA2108.1	sqz
MA2188.1	acj6
MA2189.1	Adf1
MA2190.1	Aef1
MA2191.1	amos
MA2192.1	Atf-2
MA2193.1	Atf3
MA2194.1	Atf6
MA2195.1	ato
MA2196.1	bigmax
MA2197.1	bin
MA2198.1	Blimp-1
MA2199.1	bowl
MA2200.1	bs
MA2201.1	Bteb2
MA2202.1	byn
MA2203.1	CG12605
MA2204.1	CG4360
MA2205.1	CG7928
MA2206.1	CHES-1-like
MA2207.1	ci
MA2208.1	crc
MA2209.1	CrebA
MA2210.1	CrebB
MA2211.1	croc
MA2212.1	dar1
MA2213.1	Dif
MA2214.1	dimm
MA2215.1	dm
MA2216.1	Doc2
MA2217.1	dpn
MA2218.1	dsf
MA2219.1	E(spl)m3-HLH
MA2220.1	E(spl)mbeta-HLH
MA2221.1	E(spl)mdelta-HLH
MA2222.1	E(spl)mgamma-HLH
MA2223.1	EcR
MA2224.1	Eip75B
MA2225.1	erm
MA2226.1	ERR
MA2227.1	esg
MA2228.1	Ets65A
MA2229.1	Ets96B
MA2230.1	Ets97D
MA2231.1	Ets98B
MA2232.1	fd59A
MA2233.1	Fer1
MA2234.1	Fer2
MA2235.1	FoxL1
MA2236.1	foxo
MA2237.1	FoxP
MA2238.1	GATAe
MA2239.1	gsb
MA2240.1	Hey
MA2241.1	HLH4C
MA2242.1	Hnf4
MA2243.1	Hr38
MA2244.1	Hr39
MA2245.1	Hr78
MA2246.1	Jra
MA2247.1	Kah
MA2248.1	kay
MA2249.1	ken
MA2250.1	klu
MA2251.1	knrl
MA2252.1	lmd
MA2253.1	luna
MA2254.1	lz
MA2255.1	Max
MA2256.1	mid
MA2257.1	Mitf
MA2258.1	Mnt
MA2259.1	org-1
MA2260.1	pdm3
MA2261.1	phol
MA2262.1	pnt
MA2263.1	Poxm
MA2264.1	Rel
MA2265.1	retn
MA2266.1	Rfx
MA2267.1	rib
MA2268.1	sage
MA2269.1	sc
MA2270.1	scrt
MA2271.1	sens
MA2272.1	slp2
MA2273.1	Sox102F
MA2274.1	Sox14
MA2275.1	Sox15
MA2276.1	Sox21a
MA2277.1	Sox21b
MA2278.1	SoxN
MA2279.1	Sp1
MA2280.1	Spps
MA2281.1	SREBP
MA2282.1	SREBP
MA2283.1	srp
MA2284.1	ss
MA2285.1	sug
MA2286.1	svp
MA2287.1	TfAP-2
MA2288.1	tj
MA2289.1	toy
MA2290.1	Usf
MA2291.1	vri
MA2292.1	wor
MA2293.1	Xbp1
MA2294.1	Xrp1
MA2295.1	ac
MA2296.1	aop
MA2297.1	BtbVII
MA2298.1	CG3065
MA2299.1	CG4854
MA2300.1	CG8319
MA2301.1	clk
MA2302.1	Crg-1
MA2303.1	crp
MA2304.1	cwo
MA2305.1	cyc
MA2306.1	D1
MA2307.1	D19B
MA2308.1	da
MA2309.1	ewg
MA2310.1	fru
MA2311.1	ftz-f1
MA2312.1	grn
MA2313.1	hng1
MA2314.1	hr3
MA2315.1	insv
MA2316.1	l(3)neo38
MA2317.1	nau
MA2318.1	pita
MA2319.1	run
MA2320.1	Sox100B
MA2321.1	tx
MA2322.1	ZIPIC
MA0529.3	BEAF-32
MA0010.2	br
MA0011.2	br
MA0012.2	br
MA0443.2	btd
MA0015.2	Cf2
MA0184.2	CG9876
MA0530.2	cnc::maf-S
MA0531.2	CTCF
MA0185.2	Deaf1
MA1455.2	dmrt99B
MA1456.2	Dref
MA1836.2	dsx
MA0915.2	dve
MA0189.2	E5
MA1837.2	Elba1
MA1838.2	Elba2
MA0222.2	exd
MA1839.2	GATAd
MA1840.2	gcm
MA1457.2	grh
MA1458.2	Hsf
MA1841.2	kn
MA0451.2	kni
MA0452.3	Kr
MA0195.2	Lim3
MA1459.2	M1BP
MA0197.3	nub
MA0126.2	ovo
MA1702.2	Pdp1
MA0457.2	PHDP
MA1460.2	pho
MA0536.2	pnr
MA0200.2	Pph13
MA0239.2	prd
MA0243.2	sd
MA0458.2	slp1
MA0086.3	sna
MA0532.2	Stat92E
MA1461.2	sv
MA0247.3	tin
MA0205.3	Trl
MA0249.3	twi
MA0094.3	Ubx
MA0016.2	usp
MA1462.2	vfl
MA0252.2	vis
MA0255.2	z
MA0257.2	zen2
MA0085.2	Su(H)
MA0271.1	ARG80
MA0274.1	ARR1
MA0275.1	ASG1
MA0276.1	ASH1
MA0277.1	AZF1
MA0283.1	CHA4
MA0287.1	CUP2
MA0288.1	CUP9
MA0289.1	DAL80
MA0290.1	DAL81
MA0291.1	DAL82
MA0297.1	FKH2
MA0299.1	GAL4
MA0304.1	GCR1
MA0307.1	GLN3
MA0311.1	HAL9
MA0313.1	HAP2
MA0318.1	HMRA2
MA0320.1	IME1
MA0321.1	INO2
MA0322.1	INO4
MA0323.1	IXR1
MA0324.1	LEU3
MA0326.1	MAC1
MA0327.1	HMRA1
MA0330.1	MBP1::SWI6
MA0331.1	MCM1
MA0332.1	MET28
MA0340.1	MOT3
MA0341.1	MSN2
MA0342.1	MSN4
MA0344.1	NHP10
MA0353.1	PDR3
MA0356.1	PHO2
MA0357.1	PHO4
MA0364.1	REI1
MA0366.1	RGM1
MA0368.1	RIM101
MA0370.1	RME1
MA0371.1	ROX1
MA0373.1	RPN4
MA0379.1	MOT2
MA0387.1	SPT2
MA0388.1	SPT23
MA0391.1	STB4
MA0392.1	STB5
MA0393.1	STE12
MA0394.1	STP1
MA0399.1	SUT1
MA0401.1	SWI4
MA0404.1	TBS1
MA0405.1	TEA1
MA0407.1	THI2
MA0409.1	TYE7
MA0417.1	YAP5
MA0419.1	YAP7
MA0421.1	NSI1
MA0426.1	YHP1
MA0429.1	YLL054C
MA0432.1	YNR063W
MA0437.1	YPR196W
MA0440.1	ZAP1
MA0328.2	MATALPHA2
MA1434.1	NCU02182
MA1431.2	rst2
MA0329.2	MBP1
MA0333.2	MET31
MA0334.2	MET32
MA0336.2	MGA1
MA0337.2	MIG1
MA0338.2	MIG2
MA0339.2	MIG3
MA0343.2	NDT80
MA0347.3	NRG1
MA0348.2	OAF1
MA0349.2	OPI1
MA0352.3	PDR1
MA0354.2	PDR8
MA0355.2	PHD1
MA0358.2	PUT3
MA0359.3	RAP1
MA0360.2	RDR1
MA0361.2	RDS1
MA0362.2	RDS2
MA0363.3	REB1
MA0365.2	RFX1
MA0367.2	RGT1
MA0369.2	RLM1
MA0372.2	RPH1
MA0374.2	RSC3
MA0375.2	RSC30
MA0376.2	RTG3
MA0377.2	SFL1
MA0378.2	SFP1
MA0380.2	SIP4
MA0381.2	SKN7
MA0382.3	SKO1
MA0384.2	SNT2
MA0385.2	SOK2
MA0386.2	SPT15
MA0389.2	SRD1
MA0390.2	STB3
MA0395.2	STP2
MA0396.2	STP3
MA0397.2	STP4
MA0398.2	SUM1
MA0400.2	SUT2
MA0402.2	SWI5
MA0403.3	TBF1
MA0431.2	TDA9
MA0406.2	TEC1
MA0350.2	TOD6
MA0265.3	ABF1
MA0408.2	TOS8
MA0410.2	UGA3
MA0412.3	UME6
MA0411.2	UPC2
MA0422.2	URC2
MA0413.2	USV1
MA0414.2	XBP1
MA0415.2	YAP1
MA0416.2	YAP3
MA0418.2	YAP6
MA0423.2	YER130C
MA0424.2	YER184C
MA0425.2	YGR067C
MA0428.2	YKL222C
MA0430.2	YLR278C
